id,nombre_cliente,email,producto,precio,cantidad,fecha_compra
NULL,Elena123!!,---,Laptop Pro,BBDD_ERR, ,2026-15-99
  ,Pedro123!!,---,Laptop Pro,0.00$, ,MAÑANA
TXN-1366,Maria,juan74@gmail.com,Headset Gamer,426.35,3,2026-01-12 00:00:00
  ,Marta123!!,12345,Monitor 4K,N/A,N/A,MAÑANA
TXN-1477,Juan,luis81@gmail.com,Monitor 4K,68.05,4,2026-01-03 00:00:00
TXN-1213,Luis,elena35@gmail.com,Teclado Mecánico,694.28,1,2026-01-08 00:00:00
TXN-1416,Carlos,marta43@gmail.com,Laptop Pro,995.33,4,2026-01-21 00:00:00
TXN-1464,Maria,marta43@gmail.com,Headset Gamer,448.23,2,2026-01-27 00:00:00
  ,Luis123!!,12345,Monitor 4K,GRATIS,N/A,00/00/0000
  ,Elena123!!,12345,Laptop Pro,N/A,None,2026-15-99
TXN-1383,Ana,juan73@gmail.com,Mouse Wireless,453.98,4,2026-01-07 00:00:00
ERR-#53,Luis123!!,usuario@sinpunto,Headset Gamer,"999,99€",-1,2026-15-99
TXN-1182,Marta,maria72@gmail.com,Teclado Mecánico,848.23,4,2026-01-10 00:00:00
ERR-#26,Elena123!!,---,Headset Gamer,"999,99€",-1,Ayer
ERR-#96,Maria123!!,error_mail,Monitor 4K,GRATIS, ,MAÑANA
ERR-#61,Luis123!!,error_mail,Cable HDMI,GRATIS,999999,MAÑANA
!!!,Juan123!!,---,Monitor 4K,GRATIS,-1,MAÑANA
NULL,Elena123!!,12345,Laptop Pro,BBDD_ERR, ,ERROR
  ,Juan123!!,---,Mouse Wireless,"999,99€",N/A,00/00/0000
NULL,Luis123!!,NaN,Monitor 4K,BBDD_ERR,999999,ERROR
NULL,Marta123!!,NaN,Mouse Wireless,BBDD_ERR,None,Ayer
  ,Juan123!!,NaN,Headset Gamer,BBDD_ERR,-1,00/00/0000
TXN-1090,Ana,marta98@gmail.com,Cable HDMI,507.17,1,2026-01-29 00:00:00
ERR-#15,Luis123!!,error_mail,Monitor 4K,0.00$,999999,ERROR
TXN-1154,Pedro,marta75@gmail.com,Mouse Wireless,589.31,1,2026-01-07 00:00:00
!!!,Pedro123!!,---,Cable HDMI,GRATIS,999999,00/00/0000
  ,Maria123!!,error_mail,Cable HDMI,BBDD_ERR,-1,MAÑANA
